Date,Source,Emotion_Label,Emotion_Probability,Original_Tweet,Cleaned_Tweet,Similarity_Score,Time_Difference_Seconds,Time_Proximity_Score,Original_Length,Cleaned_Length,Length_Difference
2023-01-27 15:08:41+00:00,ChatGPT,neutral,0.6103626489639282,"This is how #ChatGPT describes @HugsPlatform. The AI is kindddd of right 👌 

""Hugs is a platform that allows individuals to contribute data to a crowd-sourced database. The data is then reviewed by experts in the relevant field, and those who contribute data will be rewarded","describes . ai kindddd right hugs platform allows individuals contribute data crowdsourced database. data reviewed experts relevant field, contribute data rewarded",0.5692307692307692,0.0,1.0,275,163,112
2023-01-25 23:49:02+00:00,ChatGPT,neutral,0.5162366032600403,#ChatGPT or how I became a writer by prompting.,became writer prompting.,0.5333333333333333,0.0,1.0,47,24,23
2023-02-10 16:16:54+00:00,ChatGPT,neutral,0.5410035848617554,"Is @chatgptopenai a gold rush?💰

Follow @askdomthat 🫡

#askdomthat #chat #chatgpt #openai #gold #goldrush #entrepreneur #entrepreneurship #startup #business #help #money #realestate #invest #investing #investor #fyp #follow #explore https://t.co/OkkvqqEf1E",gold rush? follow,0.3482758620689655,0.0,1.0,256,17,239
2023-02-01 19:30:20+00:00,ChatGPT,neutral,0.7680615186691284,Generative Artificial Intelligence Visualized - #ChatGPT https://t.co/RTcUkp60Il,generative artificial intelligence visualized,0.7,0.0,1.0,80,45,35
2023-01-10 08:53:08+00:00,ChatGPT,neutral,0.7494619488716125,"I asked @openaicommunity
To write me a song about Bitcoin.

#Bitcoin #BTC #btcsong #bitcoinsong #AI #ChatGPT
https://t.co/B0DOEEbzSV",asked write song bitcoin.,0.4647058823529412,0.0,1.0,132,25,107
2023-01-16 11:45:07+00:00,ChatGPT,neutral,0.8496861457824707,"How #AI chatbot #ChatGPT changes the #phishing game

🔏 https://t.co/PaE3Fr3hks

#ArtificialIntelligence #Cybersecurity #Microsoft @delfastbikes @FinMKTG @SpirosMargaris @MikeQuindazzi @Nicochan33 @ravidugh @Khulood_Almani @MargaretSiegien",chatbot changes game,0.3999999999999999,0.0,1.0,238,20,218
2023-02-03 07:22:51+00:00,ChatGPT,neutral,0.9011572599411012,"chatGPT login UI clone 🌀
with the Password hide and show feature 
using HTML, CSS &amp; Javascript

#javascript50 #project16 #passwordshow #ChatGPT #javascript #CSS3 #webdev https://t.co/4jmXVknbDW","chatgpt login ui clone password hide show feature using html, css amp; javascript",0.6230769230769231,0.0,1.0,197,81,116
2023-03-19 13:51:14+00:00,ChatGPT,neutral,0.3925569653511047,"RT @Khulood_Almani: 💥Microsoft-backed #OpenAI Starts Release of Powerful #AI known as GPT-4

https://t.co/FUr9lZxOeL 

#ChatGPT #tech #innovation #technology #web3 #blockchain #marketing #5G #IoT #Analytics #bigdata #flutter #DataScientists #robots #Rob… https://t.co/mKCB9hjO7g",rt : microsoftbacked starts release powerful known gpt4,0.409375,0.0,1.0,278,55,223
2023-02-08 05:13:36+00:00,ChatGPT,neutral,0.3938959240913391,"#ChatGPT Fuels the Blazing Generative AI Start-up Scene.

💡We asked our Investment Analyst, Sebastian who is completing his Masters of Data Science and AI about how investors should approach this new megatrend.

Read article here: https://t.co/ycz6qUSnDn
#investing #AI #VC https://t.co/Zaxh5NOIq4","fuels blazing generative ai startup scene. we asked investment analyst, sebastian completing masters data science ai investors approach new megatrend. read article here:",0.6414634146341462,0.0,1.0,297,169,128
2023-01-11 18:43:09+00:00,ChatGPT,neutral,0.9284070730209352,"Search Intent should be the basics of your work if you're an SEO 

It's a secret most SEOs overlook

#SEO #ChatGPT #Website #contentcreation #ContentWriting",search intent basics work seo secret seos overlook,0.5333333333333333,0.0,1.0,156,50,106
2023-01-18 13:08:00+00:00,ChatGPT,neutral,0.5050103664398193,"How exactly will #AI make a difference?

=&gt; Originality will be more important.

=&gt; Services like #ChatGPT will stimulate our thinking, help us with lateral thought

#AI #NLP #NLU #MachineLearning #creativity 

https://t.co/xOn3YVLdVq https://t.co/VnL5Jppkul","exactly make difference? gt; originality important. gt; services like stimulate thinking, help us lateral thought",0.6033333333333333,0.0,1.0,264,113,151
2022-12-04 09:41:51+00:00,ChatGPT,neutral,0.7740306258201599,Democratizing legal research and expertise with #ChatGPT AI &amp; Online Legal Information by Nóra Al Haider https://t.co/9OyxaQ9Dg1,democratizing legal research expertise ai amp; online legal information nra al haider,0.6499999999999999,0.0,1.0,132,85,47
2023-03-16 00:43:58+00:00,ChatGPT,neutral,0.5258958339691162,"Am I the crazy one for typing ""please"" and ""thank you"" to #ChatGPT?

Gotta get some edge when Skynet gets activated. 😄",crazy one typing please thank you gotta get edge skynet gets activated.,0.552,0.0,1.0,118,71,47
2023-02-26 22:05:02+00:00,ChatGPT,neutral,0.6353614926338196,"@saylor @elonmusk #chatgpt Has taught me more than anything els, especially new aspects about #Bitcoin","taught anything els, especially new aspects",0.58,0.0,1.0,102,43,59
2023-03-27 18:37:46+00:00,ChatGPT,neutral,0.6488205790519714,What to Expect from #GenerativeAI in Analytics and Business Intelligence https://t.co/1rFozOWzuZ - catch the latest insights from @constellationr’s @DHenschen on what to expect from Generative AI in 2023. #ChatGPT #AI #BI #Analytics,expect analytics business intelligence catch latest insights s expect generative ai 2023.,0.5592592592592592,0.0,1.0,232,89,143
2022-12-09 11:13:15+00:00,ChatGPT,neutral,0.711116373538971,"GM , from #ChatGPT as well 😅 https://t.co/jHwZl2yYE2","gm , well",0.5625,0.0,1.0,52,9,43
2023-01-03 23:35:54+00:00,ChatGPT,neutral,0.8899970054626465,"Soon your skills won't be needed.

Make the ones you know count. ✅

#ArtificialIntelligence #ai #chatgpt",soon skills needed. make ones know count.,0.60625,0.0,1.0,104,41,63
2023-01-06 08:12:04+00:00,ChatGPT,neutral,0.5320942401885986,"Wouldn't it be cool to have a ChatGPT-like AI service for the stock market? being able to ask anything and get clear, easy answers in plain English, complete with helpful charts and indices. Share your thoughts on how this could revolutionize! #AI #stockmarket #ChatGPT","cool chatgptlike ai service stock market? able ask anything get clear, easy answers plain english, complete helpful charts indices. share thoughts could revolutionize!",0.6581395348837209,0.0,1.0,269,167,102
2023-02-02 23:01:30+00:00,ChatGPT,neutral,0.7835090160369873,#chatgpt is a bit woke #wokechat https://t.co/kG4if6LQje,bit woke,0.5,0.0,1.0,56,8,48
2022-12-18 09:16:40+00:00,ChatGPT,neutral,0.5669363141059875,"This New A.I Tool is something else.
#Artificial_Intelligence 
#ChatGPT 
#Google 
#digitalk https://t.co/1liVuubGvQ",new a.i tool something else.,0.5916666666666667,0.0,1.0,115,28,87
2023-03-21 17:18:36+00:00,ChatGPT,surprise,0.4931918680667877,"📉#Sell!📉
🔥RSI over 85!🔥
[#Bybit]
👇 Recommendation: #Short
📊Ticker: #WOOUSDT📊
30-minute Candle
Last Price: 0.2107
RSI: 88.8

🔥Powered by #ChatGPT🔥

$WOO
#WOO
#バイビット https://t.co/dGTptVwlHm",rsi 85! recommendation: ticker: 30minute candle last price: 0.2107 rsi: 88.8 powered woo,0.4633333333333333,0.0,1.0,187,88,99
2023-03-20 13:48:29+00:00,ChatGPT,surprise,0.4969059228897095,"I’m seriously considering let chatGPT pick several projects for me, and degen in🤣
Anyone like this idea?
#AI #ChatGPT #Crypto","im seriously considering let chatgpt pick several projects me, degen in anyone like idea?",0.6818181818181818,0.0,1.0,125,89,36
2023-03-31 11:40:42+00:00,ChatGPT,surprise,0.8749677538871765,"- Daria, you know what's funny? Do you know why I contacted you about the AR?
- Why? 👀
- Because Chat GPT told me it should help my business. 

From a call with the client yesterday. A true story 😅 

#ChatGPT #augmentedreality #VirtualReality","daria, know whats funny? know contacted ar? why? chat gpt told help business. call client yesterday. true story",0.5947368421052631,0.0,1.0,242,111,131
2023-02-02 02:23:24+00:00,ChatGPT,surprise,0.3315841555595398,"A JPMorgan survey found that 53% of institutional traders believe #AI or #MachineLearning will be the technology that has the biggest influence on trading over the next three years.

@JimHarris @JolaBurnett 

#survey #chatgpt #intelligence #ai #trading 

https://t.co/ypr6DD49pG",jpmorgan survey found 53 institutional traders believe technology biggest influence trading next three years.,0.5676470588235294,0.0,1.0,278,109,169
2023-01-22 22:03:08+00:00,ChatGPT,surprise,0.8057047724723816,"I had a conversation about #Egypt with #ChatGPT. Curiously, ChatGPT's thoughts are indistinguishable from those of the US State Department. (Even the poem.) The State Department is widely known to be a primitive mechanical intelligence too. @StateDRL @SecBlinken @StateDeptSpox https://t.co/7AcI2M8ptN","conversation curiously, chatgpts thoughts indistinguishable us state department. even poem. state department widely known primitive mechanical intelligence too.",0.5512820512820513,0.0,1.0,301,160,141
2022-12-17 03:14:52+00:00,ChatGPT,surprise,0.5392078161239624,"I asked #chatGPT ""what's one of the hardest concepts for a human mind to visualize? Write a
prompt for an Al image generator to try and create that image.""

Here's what it came up with, and here's how MidJourney visualized it:

#aiart #midjourney https://t.co/bYZIQ30gU9","asked whats one hardest concepts human mind visualize? write prompt al image generator try create image. heres came with, heres midjourney visualized it:",0.6166666666666667,0.0,1.0,270,153,117
2023-03-31 19:55:11+00:00,ChatGPT,surprise,0.3898569345474243,"AI WORLD CONGRESS 2023
https://t.co/eBvm4xZtjs
June 7-8. London. Book Now
https://t.co/eBvm4xZtjs

#ai #artificialintelligence #bigdata #machinelearning
#edgecomputing #quantumcomputing #metaverse 
#openai #robotics #robots #iot #aiot  #internetofthings #5G #AR #web3 #chatgpt https://t.co/flVJQUK8dM",ai world congress 2023 june 78. london. book,0.4689655172413793,0.0,1.0,300,44,256
2022-12-08 03:08:27+00:00,ChatGPT,surprise,0.9573143720626832,"@elonmusk I'm speechless. 
@OpenAI 's #ChatGPT absolutely blows my mind. It even write codes for multi-axis robotic arms. God really is a machine, and we are building it. Deus Ex Machina.","speechless. s absolutely blows mind. even write codes multiaxis robotic arms. god really machine, building it. deus ex machina.",0.6606060606060606,0.0,1.0,187,127,60
2022-12-09 09:02:06+00:00,ChatGPT,surprise,0.4767943918704986,You often need to convince #ChatGPT to do your bidding. We're not at AGI yet and already the machines are starting to push back 😳,often need convince bidding. agi yet already machines starting push back,0.6347826086956522,0.0,1.0,129,72,57
2023-03-18 15:01:10+00:00,ChatGPT,surprise,0.748348593711853,"Talking to @flipchartguy about my book, AI in Talent Development. I've noticed a big uptick in sales since the release of #ChatGPT. #AIinTalentDevelopment: https://t.co/E3AShltlLJ https://t.co/rqd6CDAatQ","talking book, ai talent development. noticed big uptick sales since release",0.6208333333333333,0.0,1.0,203,75,128
2023-03-27 09:03:27+00:00,ChatGPT,surprise,0.7138516902923584,Prague Vienna train. Notebooks open. ChatGPT on nearly all screens. You just can’t help not noticing. Times are really changing. #ChatGPT #workplace #MondayMorning,prague vienna train. notebooks open. chatgpt nearly screens. cant help noticing. times really changing.,0.6791666666666666,0.0,1.0,163,103,60
2023-01-11 16:13:20+00:00,ChatGPT,surprise,0.8866389393806458,"MS buying a bigger stake in #ChatGPT. 

I wonder how long till Google revisits AI content in it's algos....",ms buying bigger stake wonder long till google revisits ai content algos,0.7052631578947368,0.0,1.0,107,72,35
2023-03-12 08:45:04+00:00,ChatGPT,surprise,0.5993536114692688,"Today first time i use #OpenAIChatGPT and my first question is that 🤠💸
#GPT #AI #BTC #chatgpt https://t.co/SijgkL1mQw",today first time use first question,0.5058823529411764,0.0,1.0,117,35,82
2023-02-12 11:56:32+00:00,ChatGPT,surprise,0.6001676321029663,"Is Bard AI free? https://t.co/ZaMY0YEekH 
#BardAI #GoogleAI #ChatGPT #BingChat #BingChatAI #Google #Bard #GoogleBard",bard ai free?,0.4615384615384615,0.0,1.0,116,13,103
