Date,Emotion_Label,Emotion_Probability,Original_Tweet,Cleaned_Tweet,Similarity_Score,Original_Length,Cleaned_Length,Length_Difference,Original_Language,Original_Likes,Original_Retweets,Original_Replies,Original_Hashtags,Original_URLs
2017-01-30,neutral,0.5597466230392456,15 great examples of artificial intelligence in marketing  https://t.co/t1ObcBND6F #AI #martech #adtech,great examples artificial intelligence marketing ai martech adtech,0.3333333333333333,103,66,37,en,2,1,0,"['ai', 'martech', 'adtech']",['https://soamp.li/1Rhu']
2019-12-30,neutral,0.5635455846786499,"5G In India To Propel AI-Driven IoT And Cloud Computing, Here’s How  https://t.co/Ufn7fgLmI5 #IoT #5G #ArtificialIntelligence","5g india propel aidriven iot cloud computing , here s iot 5g artificialintelligence",0.22727272727272727,125,83,42,en,0,0,0,"['iot', '5g', 'artificialintelligence']",['https://inc42.com/buzz/5g-in-india-to-propel-ai-driven-iot-and-cloud-computing-heres-how/']
2018-12-30,neutral,0.5146622657775879,How smart? We may have to talk to them to find out...check out my upcoming novel DELPHYS RISING. #DifferentlyIntelligent #AI #dolphins #fiction #ArtificialIntelligence,smart? may talk find out... check out upcoming novel delphys rising. differentlyintelligent ai dolphins fiction artificialintelligence,0.32142857142857145,167,134,33,en,1,1,0,"['differentlyintelligent', 'ai', 'dolphins', 'fiction', 'artificialintelligence']",[]
2017-07-30,neutral,0.772732675075531,xcubelabs: RT KhalidHamdan0: The evolution of #ArtificialIntelligence between 1950 and 2016 via GoldmanSachs MT Mi…  https://t.co/OC2ELB7c3d,xcubelabs: khalidhamdan0: evolution artificialintelligence between goldmansachs mt mi,0.3333333333333333,140,85,55,en,1,0,0,['artificialintelligence'],[]
2019-10-31,neutral,0.5153473615646362,https://t.co/aY5wJvYpYC USPTO issues second Federal Register Notice on artificial intelligence and innovation   https://t.co/tWNUmIpmFG C...,uspto issues second federal register notice artificial intelligence innovation c...,0.7142857142857143,140,83,57,en,0,0,0,[],"['http://www.opusip.co.uk/2019/10/30/uspto_issues_second_federal_register/', 'https://www.uspto.gov/blog/director/entry/uspto_issues_second_federal_register']"
2018-12-30,neutral,0.4460207819938659,How #blockchain technology can transform #SupplyChain operations  https://t.co/ZDXwRLchDT  #DistributedLedger #EmergingTechnologies #DigitalTransformation #bitcoin #DLT #Procurement #ArtificialIntelligence #AI,blockchain technology transform supplychain operations distributedledger emergingtechnologies digitaltransformation bitcoin dlt procurement artificialintelligence ai,0.11538461538461539,209,165,44,en,6,4,0,"['blockchain', 'supplychain', 'distributedledger', 'emergingtechnologies', 'digitaltransformation', 'bitcoin', 'dlt', 'procurement', 'artificialintelligence', 'ai']",['http://bit.ly/2UO0V8w']
2019-12-29,neutral,0.4998824298381805,"Car #camera system could help keep drivers awake, The #technology, to be built into new #automobile from 2022, uses cameras and #ArtificialIntelligence - with possible #privacy and #security concerns. #AI #WHO #Bosch   https://t.co/jMdpjIUfrH  https://t.co/ydsr2tz9go","car camera system help keep drivers awake , technology , built new automobile , uses cameras artificialintelligence possible privacy security concerns. ai bosch",0.2558139534883721,267,160,107,en,1,1,0,"['camera', 'technology', 'automobile', 'artificialintelligence', 'privacy', 'security', 'ai', 'who', 'bosch']",['https://cnn.it/39rrDeu']
2017-12-15,neutral,0.6853503584861755,- Big Data/Artificial Intelligence Technical Lead -Data Services -Technology Group - Engineering Platforms and COTS Ser  https://t.co/eNj7OM9Jml #CAREER,big data artificial intelligence technical lead data services technology group engineering platforms cots ser career,0.47619047619047616,152,116,36,en,0,0,0,['career'],['http://www.recruiter-directory.info/jobs/?q=Big+Data%2FArtificial+Intelligence+Technical+Lead+-Data+Services+-Technology+Group&l=&z=&tw=274&k=']
2018-10-29,neutral,0.7009567022323608,Why is the @wef promoting #ArtificialIntelligence business solutions for multinational corporations? How will this help the unemployed in third world countries? Someone please break it down for me. #Anonymous  https://t.co/cyl4sme0II,promoting artificialintelligence business solutions multinational corporations? help unemployed third world countries? someone please break down. anonymous,0.41935483870967744,233,155,78,en,2,0,0,"['artificialintelligence', 'anonymous']",['https://twitter.com/wef/status/1056802960485900288']
2017-07-14,neutral,0.8831033706665039,Artificial intelligence will help your agency focus on its mission:  https://t.co/Jjlq4EN9T1 @IPSoft  https://t.co/YqcsDjU9NT,artificial intelligence help agency focus mission:,0.46153846153846156,125,50,75,en,0,0,0,[],['http://bit.ly/2tOM6UU']
2018-10-29,neutral,0.4454127848148346,"One of the newest Nobel economists has a theory, and if it's correct we'll all be in for a huge salary increase when the #robots take over   https://t.co/GXwE5WeOUH  #MachineLearning #AI #ArtificialIntelligence #Robotics  https://t.co/kk4jmlid5w","one newest nobel economists theory , correct we'll all huge salary increase robots take machinelearning ai artificialintelligence robotics",0.2894736842105263,245,138,107,en,3,1,0,"['robots', 'machinelearning', 'ai', 'artificialintelligence', 'robotics']",['http://bit.ly/2OZfeI0']
2021-01-27,neutral,0.440796285867691,Software testing efficiency &amp; software testing effectiveness are two key metrics that determine the overall progress of a test strategy. #Artificialintelligence (AI) testing essentially focus on these two parameters. Adopt the AI usage in QA now!  #SoftwareTesting #QA  https://t.co/VDKiEkUewT,software testing efficiency; software testing effectiveness two key metrics determine overall progress test strategy. artificialintelligence ai testing essentially focus two parameters. adopt ai usage qa now! softwaretesting qa,0.5135135135135135,297,227,70,en,1,0,0,"['artificialintelligence', 'softwaretesting', 'qa']",[]
2019-07-30,neutral,0.6298841834068298,5 Ways Artificial Intelligence Improves Email Marketing  https://t.co/4gAnNH4zXY by @disruptiveads,ways artificial intelligence improves email marketing,0.6,98,53,45,en,0,0,0,[],['https://buff.ly/2LXOoND']
2017-08-30,neutral,0.7445041537284851,The Good and the Bad of Artificial Intelligence: 10 Need-to-Know Facts  https://t.co/j9QF1rQf5i,good bad artificial intelligence: needtoknow facts artificialintelligence,0.38461538461538464,95,73,22,en,0,0,0,[],['http://www.signature-reads.com/2017/08/good-bad-artificial-intelligence-10-facts-know/']
2017-09-30,neutral,0.7475923895835876,3Q 2017 Pitchbook Artificial Intelligence &amp; Machine Learning Market Map  https://t.co/Eg8MBzlKak,3q pitchbook artificial intelligence; machine learning market map,0.5833333333333334,100,65,35,en,0,0,0,[],['https://www.valuewalk.com/2017/08/3q-2017-pitchbook-artificial-intelligence-machine-learning-market-map/']
2018-04-29,neutral,0.4854447841644287,Baidu raises more than US$1.9 billion for artificial intelligence-powered finance arm - South China Morning Post  https://t.co/BOf2lqnFWZ,baidu raises more us. billion artificial intelligencepowered finance arm south china morning post,0.5789473684210527,137,97,40,en,0,0,0,[],['https://ift.tt/2FpXThP']
2021-07-17,neutral,0.9296748042106628,How can Real-Time Artificial intelligence Speech Assistance in Call Centers enable effec...  https://t.co/HiEenrGsQo,realtime artificial intelligence speech assistance call centers enable effec...,0.5714285714285714,116,79,37,en,0,0,0,[],['http://upflow.co/l/BLGf']
2017-12-15,neutral,0.6276108026504517,Curriculum | Artificial Intelligence Management - Curriculum. You must successfu  https://t.co/MP8wnAtohO #ai,curriculum lt; b gt; artificial intelligence lt; b gt; management: curriculum. must successfully,0.29411764705882354,109,96,13,en,0,1,0,['ai'],['http://homeai.info/blog/news-stories/curriculum-artificial-intelligence-management/']
