Date,Source,Emotion_Label,Emotion_Probability,Original_Tweet,Cleaned_Tweet,Similarity_Score,Time_Difference_Seconds,Time_Proximity_Score,Original_Length,Cleaned_Length,Length_Difference
2023-01-27 15:08:41+00:00,ChatGPT,neutral,0.6103626489639282,"This is how #ChatGPT describes @HugsPlatform. The AI is kindddd of right 👌 

""Hugs is a platform that allows individuals to contribute data to a crowd-sourced database. The data is then reviewed by experts in the relevant field, and those who contribute data will be rewarded","describes . ai kindddd right hugs platform allows individuals contribute data crowdsourced database. data reviewed experts relevant field, contribute data rewarded",0.5692307692307692,0.0,1.0,275,163,112
2022-12-06 13:51:51+00:00,ChatGPT,neutral,0.6970969438552856,"I am actually lost for words, this is so overpowered, guess we don't need Developers anymore😂#ChatGPT #AI https://t.co/q3S9PG64hE","actually lost words, overpowered, guess need developers anymore",0.5578947368421052,0.0,1.0,129,63,66
2022-12-21 15:00:45+00:00,ChatGPT,neutral,0.5738047957420349,"🚨 Reminder: Special Broadcast starts in 1 hour 🚨
 
Learn about @OpenAI‘s new #ChatGPT bot – and how it affects #Security at our #SANSSpecialBroadcast today at 11:00 am EST with @robtlee, @jorgeorchilles &amp; @it_audit.
 
➡️ Register &amp; Tune In:  https://t.co/uWDHX6T6Wh https://t.co/0zPFvIJ2bn","reminder: special broadcast starts 1 hour learn s new bot affects today 11:00 est , , amp; . register amp; tune in:",0.5666666666666667,0.0,1.0,297,115,182
2022-12-04 09:41:51+00:00,ChatGPT,neutral,0.7740306258201599,Democratizing legal research and expertise with #ChatGPT AI &amp; Online Legal Information by Nóra Al Haider https://t.co/9OyxaQ9Dg1,democratizing legal research expertise ai amp; online legal information nra al haider,0.6499999999999999,0.0,1.0,132,85,47
2023-01-06 08:12:04+00:00,ChatGPT,neutral,0.5320942401885986,"Wouldn't it be cool to have a ChatGPT-like AI service for the stock market? being able to ask anything and get clear, easy answers in plain English, complete with helpful charts and indices. Share your thoughts on how this could revolutionize! #AI #stockmarket #ChatGPT","cool chatgptlike ai service stock market? able ask anything get clear, easy answers plain english, complete helpful charts indices. share thoughts could revolutionize!",0.6581395348837209,0.0,1.0,269,167,102
2023-01-25 23:49:02+00:00,ChatGPT,neutral,0.5162366032600403,#ChatGPT or how I became a writer by prompting.,became writer prompting.,0.5333333333333333,0.0,1.0,47,24,23
2023-01-03 23:35:54+00:00,ChatGPT,neutral,0.8899970054626465,"Soon your skills won't be needed.

Make the ones you know count. ✅

#ArtificialIntelligence #ai #chatgpt",soon skills needed. make ones know count.,0.60625,0.0,1.0,104,41,63
2023-01-30 15:56:20+00:00,ChatGPT,neutral,0.7416749596595764,"#ChatGPT prediction for Luna Classic 😱

🌕🌕 #LUNACLASSIC 🌕🌕
#LuncArmy  $Lunc $Ustc #Ustc #Lunc  #Crypto #Cryptocurrency  #LUNCcommunity 
#DeFi #dApps #Nft #Web3 https://t.co/kF39yfsVTk https://t.co/ey3jLvdirE",prediction luna classic lunc ustc,0.38749999999999996,0.0,1.0,207,33,174
2023-03-27 18:37:46+00:00,ChatGPT,neutral,0.6488205790519714,What to Expect from #GenerativeAI in Analytics and Business Intelligence https://t.co/1rFozOWzuZ - catch the latest insights from @constellationr’s @DHenschen on what to expect from Generative AI in 2023. #ChatGPT #AI #BI #Analytics,expect analytics business intelligence catch latest insights s expect generative ai 2023.,0.5592592592592592,0.0,1.0,232,89,143
2023-02-23 12:44:51+00:00,ChatGPT,neutral,0.8040760159492493,A Masterpiece is in Improvement #ChatGPT #OpenAI,masterpiece improvement,0.5,0.0,1.0,48,23,25
