Date,Source,Emotion_Label,Emotion_Probability,Original_Tweet,Cleaned_Tweet,Similarity_Score,Original_Length,Cleaned_Length,Length_Difference
2023-03-21 16:27:21+00:00,ChatGPT,neutral,0.6329650282859802,"Bard: ChatGPT's competition from Google is now available to adults https://t.co/M7rC2AWSiw
Via @NepalkhabarEng 

#BARD 
#ChatGPT4G 
#chatgpt4 
#Chatbot 
#Google 
#ChatGPT 
#technologynews 
#technology",bard: chatgpts competition google available adults via,0.2727272727272727,200,54,146
2023-04-07 03:32:08+00:00,ChatGPT,neutral,0.6306745409965515,"""You can't cross the sea merely by standing and staring at the water.""

Follow: @csryk24 

#morning #JummahMubarak #ChatGPT",you cant cross sea merely standing staring water. follow:,0.3,123,57,66
2023-03-09 14:10:26+00:00,ChatGPT,neutral,0.8977565765380859,‘However useful these programs may be in some narrow domains … we know from the science of linguistics and the philosophy of knowledge that they differ profoundly from how humans reason and use language.’ https://t.co/5fmaXz10cN #LLM #ChatGPT #NLP #AI @OpenAI @bing,however useful programs may narrow domains know science linguistics philosophy knowledge differ profoundly humans reason use language.,0.38461538461538464,265,134,131
2024-07-29 13:14:17.630000+00:00,GenAI,neutral,0.4524688124656677,Among the deliverables Biden administration Published final frameworks on managing generative AI risks and securely developing generative AI systems and dual-use foundation models. @NIST,among the deliverables biden administration published final frameworks on managing generative ai risks and securely developing generative ai systems and dualuse foundation models.,0.8636363636363636,186,179,7
2023-02-20 19:24:49+00:00,ChatGPT,neutral,0.4762004017829895,"I asked #ChatGPT how to define heart failure in the @uk_biobank  , @AllofUsResearch, @FinnGen_FI &amp;  a @OHDSI OMOP source. None of the answers was 100% complete, but if you put all elements across them together, you would get a pretty decent phenotyping algorithm 🤯🤯🤯 https://t.co/XpRwNxjlcs","asked define heart failure , , amp; omop source. none answers 100 complete, put elements across together, would get pretty decent phenotyping algorithm",0.45454545454545453,294,151,143
2023-03-03 18:26:20+00:00,ChatGPT,neutral,0.8577726483345032,"[cont] which then bot will loose context and responses might not be great.

Open AI counts request + response towards your token quota.
So some one using heavy sentences might only able to interact for few responses before bot looses context and resets.
#ChatGPT",cont bot loose context responses might great. open ai counts request response towards token quota. one using heavy sentences might able interact responses bot looses context resets.,0.55,262,181,81
2023-03-26 18:52:09+00:00,ChatGPT,neutral,0.7303627133369446,"under the umbrella of #medialiteracy
#digitalcitizenship #informationliteracy 

now would be a good time to talk #AIliteracy 
the conversation to start at home with your kids
the co-creations to do with them

https://t.co/5dV3Hsi2BJ #edchat #k12 #edtechchat #chatgpt https://t.co/ymTILVnb2S",umbrella would good time talk conversation start home kids cocreations,0.2727272727272727,290,70,220
2023-02-14 02:13:27+00:00,ChatGPT,neutral,0.5278241038322449,Nikola Tesla's AC motor revolutionized electricity production &amp; transmission. #ChatGPT #make,nikola teslas ac motor revolutionized electricity production amp; transmission.,0.5384615384615384,96,79,17
2023-01-17 02:31:12+00:00,ChatGPT,neutral,0.8675428032875061,make #chatGPT your portable assistant.,make portable assistant.,0.6,38,24,14
2023-01-20 14:44:41+00:00,ChatGPT,neutral,0.5913905501365662,"10 ways blockchain developers can use ChatGPT

AI is a powerful tool that developers in the #cryptocurrency and #blockchain industry can use. Here is how #ChatGPT can be of help.

https://t.co/CZUnj5Nbr9
#web3 #web3community #blockchaintechnology #smartcontracts",10 ways blockchain developers use chatgpt ai powerful tool developers industry use. help.,0.3870967741935484,262,89,173
