Date,Source,Emotion_Label,Emotion_Probability,Original_Tweet,Cleaned_Tweet,Similarity_Score,Original_Length,Cleaned_Length,Length_Difference
2023-02-12 00:53:18+00:00,ChatGPT,neutral,0.4827925264835357,"Just 24 hours ago, a certain Pallab G. started to sell for around $9  an automated workflow that includes #chatgpt. The unlisted video is in this tweet, at at the time of writing, had 4 views, including 3 of mine, https://t.co/hf4lnvEbL5","24 hours ago, certain pallab g. started sell around 9 automated workflow includes unlisted video tweet, time writing, 4 views, including 3 mine,",0.5641025641025641,237,144,93
2023-01-22 06:33:02+00:00,ChatGPT,neutral,0.8202840089797974,#ChatGPT #GenerativeAI #OpenAI MC Explains: Helpful resources on ChatGPT to get you started: Here is a list of resources that can get you started on your journey to becoming a ChatGPT pro. ChatGPT is poised to change how we work and when that … https://t.co/vJ5rhSubFB,mc explains: helpful resources chatgpt get started: list resources get started journey becoming chatgpt pro. chatgpt poised change work,0.4411764705882353,268,135,133
2022-12-06 03:20:50+00:00,ChatGPT,neutral,0.4610127210617065,"@bierlingm @kirkouimet was searching for a different tweet, but i was just playing around w the #ChatGPT and happened to ask so here you go! https://t.co/0nj0DM3wAV if you wanna play around with it yourself! https://t.co/EKBITZww99","searching different tweet, playing around w happened ask go! wanna play around yourself!",0.375,231,88,143
2023-01-17 21:25:43+00:00,ChatGPT,neutral,0.8783104419708252,"ChatGPT is here to stay.

Athletes and coaches, with a bit of research, you can use it to create your professional website.

Developers, you have an assistant in hand.

#athlete #athletes #coach #coaches #developer #developers #ChatGPT","chatgpt stay. athletes coaches, bit research, use create professional website. developers, assistant hand.",0.3823529411764705,235,106,129
2023-02-14 02:13:27+00:00,ChatGPT,neutral,0.5278241038322449,Nikola Tesla's AC motor revolutionized electricity production &amp; transmission. #ChatGPT #make,nikola teslas ac motor revolutionized electricity production amp; transmission.,0.5384615384615384,96,79,17
2023-03-25 03:01:28+00:00,ChatGPT,neutral,0.8276728987693787,My lab has so much R code that could potentially work better in Python. This looks like one of the key applications of #chatgpt in bioinformatics.,lab much r code could potentially work better python. looks like one key applications bioinformatics.,0.625,146,101,45
2022-12-23 12:55:24+00:00,ChatGPT,neutral,0.711590051651001,"Enough has been written on #ChatGPT, but the most intriguing is whether it can replace search and dethrone 
@Google.

My take on it in the Mint column today: https://t.co/BlDF6P347i

#google #chatgpt3 #thetechwhisperer #jaspreetbindra https://t.co/Rm1WgYBBOY",enough written intriguing whether replace search dethrone . take mint column today:,0.34375,258,83,175
2023-03-11 20:34:13+00:00,ChatGPT,neutral,0.5249657034873962,"#artificialintellegence #ChatGPT 

Part 2 And Nvidia are looking to incorporate photonics into their chip design. The 2N mode will be available around 2025-2025, as will GPT-5. Even the new H100 system boost 4N, so we can see out to around 2025.","part 2 nvidia looking incorporate photonics chip design. 2n mode available around 20252025, gpt5. even new h100 system boost 4n, see around 2025.",0.5128205128205128,245,145,100
2023-03-16 04:44:59+00:00,ChatGPT,neutral,0.6112168431282043,ChatGPT Or Stack Overflow #developers #ChatGPT,chatgpt stack overflow,0.5,46,22,24
2023-01-20 14:44:41+00:00,ChatGPT,neutral,0.5913905501365662,"10 ways blockchain developers can use ChatGPT

AI is a powerful tool that developers in the #cryptocurrency and #blockchain industry can use. Here is how #ChatGPT can be of help.

https://t.co/CZUnj5Nbr9
#web3 #web3community #blockchaintechnology #smartcontracts",10 ways blockchain developers use chatgpt ai powerful tool developers industry use. help.,0.3870967741935484,262,89,173
2022-12-16 12:56:17+00:00,ChatGPT,neutral,0.817537784576416,"Ok lets see If this works:
#OpenAI #ChatGPT #AI https://t.co/0ipQ9VjNr4",ok lets see works:,0.4,71,18,53
2022-12-06 07:03:38+00:00,ChatGPT,neutral,0.5336472392082214,"Can a language model like #ChatGPT replace a web search engine like Google?

What Google are you referring to?

The answer box generator that spits out trivia and scraped Wikipedia? Sure.

The list of sources of opinions, details, and experiences? No way.

Just USE #ChatGPT 1 day","language model like replace web search engine like google? google referring to? answer box generator spits trivia scraped wikipedia? sure. list sources opinions, details, experiences? way. use 1 day",0.6829268292682927,280,198,82
2023-03-14 08:30:59+00:00,ChatGPT,neutral,0.5940696001052856,woah #ChatGPT is another level of AI man 😱😱😱,woah another level ai man,0.5555555555555556,44,25,19
2023-02-11 03:45:56+00:00,ChatGPT,neutral,0.6926164627075195,"Apparently just like a teen @OpenAI #ChatGPT doesn't acknowledge anything its parents say 😂 @miramurati Oh well, guess I'm going to have to go and look the old-fashioned way to see if she's said anything to inspire my #female #compsci #students. https://t.co/pIxz0nUs6J","apparently like teen acknowledge anything parents say oh well, guess going go look oldfashioned way see said anything inspire",0.4358974358974359,269,125,144
2023-02-02 08:10:11+00:00,ChatGPT,neutral,0.3888410925865173,"#ChatGPT Plus, the ""pro version"", is announced. 
TLDR;

- Will cost $20/month
- Access to ChatGPT, even during peak times
- Faster response times
- Priority access to new features and improvements
- 1st available in the US. 
Waiting list in the link 👇

https://t.co/AIdY8Pgr5k","plus, pro version, announced. tldr; cost 20month access chatgpt, even peak times faster response times priority access new features improvements 1st available us. waiting list link",0.5526315789473685,276,180,96
2023-03-23 04:54:15+00:00,ChatGPT,neutral,0.878231942653656,"@opera  is integrating #AI Prompts and popular GPT-based services #ChatGPT and ChatSonic into Opera and Opera GX, enabling users to harness AI-generated content (AIGC) tools within the browsers.","integrating prompts popular gptbased services chatsonic opera opera gx, enabling users harness aigenerated content aigc tools within browsers.",0.5,194,142,52
